"","X","plot","id","species","height_cm","date","month","community"
"1",648,2461,3,"SAAP",40.7,2023-09-22,9,"1"
"2",649,2461,4,"ARCA",45.1,2023-09-22,9,"1"
"3",650,2461,5,"SAAP",83.3,2023-09-22,9,"1"
"4",651,2461,6,"ENCA",62.9,2023-09-22,9,"1"
"5",652,2461,7,"ARCA",73,2023-09-22,9,"1"
"6",653,2461,8,"SALE",90.1,2023-09-22,9,"1"
"7",654,2461,9,"ARCA",92.8,2023-09-22,9,"1"
"8",655,2461,10,"ARCA",147.8,2023-09-22,9,"1"
"9",656,2461,11,"SAAP",49.6,2023-09-22,9,"1"
"10",657,2461,12,"SAME",71.5,2023-09-22,9,"1"
"11",658,2461,13,"ARCA",116.5,2023-09-22,9,"1"
"12",659,2461,14,"ARCA",102,2023-09-22,9,"1"
"13",660,2461,15,"SAAP",54.5,2023-09-22,9,"1"
"14",661,2461,16,"ARCA",103.5,2023-09-22,9,"1"
"15",662,2461,17,"ARCA",148.8,2023-09-22,9,"1"
"16",663,2461,18,"ENCA",56,2023-09-22,9,"1"
"17",664,2461,19,"ARCA",95.8,2023-09-22,9,"1"
"18",665,2461,21,"SAAP",98.2,2023-09-22,9,"1"
"19",666,2461,22,"SALE",81.6,2023-09-22,9,"1"
"20",667,2461,23,"SAAP",44.6,2023-09-22,9,"1"
"21",668,2461,24,"SALE",79.2,2023-09-22,9,"1"
"22",669,2461,25,"SAME",53.7,2023-09-22,9,"1"
"23",670,2461,26,"ENCA",56.7,2023-09-22,9,"1"
"24",671,2461,27,"ARCA",81.9,2023-09-22,9,"1"
"25",672,2461,28,"SALE",83,2023-09-22,9,"1"
"26",673,2461,29,"ENCA",58.7,2023-09-22,9,"1"
"27",674,2461,NA,"ENCA",63.8,2023-09-22,9,"1"
"28",675,2460,1,"ARCA",69.5,2023-09-22,9,"2"
"29",676,2460,2,"SALE",88.7,2023-09-22,9,"2"
"30",677,2460,3,"SAAP",51.1,2023-09-22,9,"2"
"31",678,2460,4,"ENCA",72.5,2023-09-22,9,"2"
"32",679,2460,5,"SAAP",29.4,2023-09-22,9,"2"
"33",680,2460,6,"ARCA",65.4,2023-09-22,9,"2"
"34",681,2460,7,"ENCA",69.5,2023-09-22,9,"2"
"35",682,2460,8,"SAAP",34.6,2023-09-22,9,"2"
"36",683,2460,9,"SAAP",62.3,2023-09-22,9,"2"
"37",684,2460,10,"SALE",67.7,2023-09-22,9,"2"
"38",685,2460,11,"RHOV",17,2023-09-22,9,"2"
"39",686,2460,12,"SAME",84.5,2023-09-22,9,"2"
"40",687,2460,13,"SAAP",39.9,2023-09-22,9,"2"
"41",688,2460,14,"SALE",92.1,2023-09-22,9,"2"
"42",689,2460,15,"ENCA",79.4,2023-09-22,9,"2"
"43",690,2460,16,"ARCA",66.3,2023-09-22,9,"2"
"44",691,2460,17,"SAME",81.2,2023-09-22,9,"2"
"45",692,2460,18,"ENCA",82.2,2023-09-22,9,"2"
"46",693,2460,19,"SALE",64.1,2023-09-22,9,"2"
"47",694,2460,20,"RHOV",37.2,2023-09-22,9,"2"
"48",695,2460,21,"ARCA",71.5,2023-09-22,9,"2"
"49",696,2460,22,"SAME",93,2023-09-22,9,"2"
"50",697,2460,23,"ARCA",97.9,2023-09-22,9,"2"
"51",698,2460,24,"ENCA",101,2023-09-22,9,"2"
"52",699,2460,25,"ARCA",89.5,2023-09-22,9,"2"
"53",700,2460,26,"SALE",65.3,2023-09-22,9,"2"
"54",701,2460,27,"SAAP",59.1,2023-09-22,9,"2"
"55",702,2460,28,"ARCA",54.3,2023-09-22,9,"2"
"56",703,2460,29,"MALA",120.5,2023-09-22,9,"2"
"57",704,2460,30,"SALE",70.5,2023-09-22,9,"2"
"58",705,2460,31,"ENCA",50.3,2023-09-22,9,"2"
"59",706,2460,32,"ENCA",89.6,2023-09-22,9,"2"
"60",707,2460,33,"ARCA",67.4,2023-09-22,9,"2"
"61",708,2460,34,"ERFA",85.5,2023-09-22,9,"2"
"62",709,2460,35,"SAME",123.2,2023-09-22,9,"2"
"63",710,2460,36,"ENCA",60.1,2023-09-22,9,"2"
"64",711,2460,37,"SALE",126.5,2023-09-22,9,"2"
"65",712,2460,38,"SAME",109.6,2023-09-22,9,"2"
"66",713,2460,39,"ARCA",122,2023-09-22,9,"2"
"67",714,2460,40,"ERFA",35.7,2023-09-22,9,"2"
"68",715,2460,41,"SAAP",31,2023-09-22,9,"2"
"69",716,2460,42,"ERFA",60.6,2023-09-22,9,"2"
"70",717,2460,43,"ARCA",53.5,2023-09-22,9,"2"
"71",718,2460,44,"SAAP",59.5,2023-09-22,9,"2"
"72",719,2460,45,"SALE",104.2,2023-09-22,9,"2"
"73",720,2460,46,"ENCA",106,2023-09-22,9,"2"
"74",721,2460,47,"SAAP",20.9,2023-09-22,9,"2"
"75",722,2403,2,"ARCA",59.1,2023-09-22,9,"1"
"76",723,2403,3,"ENCA",73.4,2023-09-22,9,"1"
"77",724,2403,4,"ENCA",38.2,2023-09-22,9,"1"
"78",725,2403,5,"ARCA",56.6,2023-09-22,9,"1"
"79",726,2403,6,"SALE",74.1,2023-09-22,9,"1"
"80",727,2403,7,"ENCA",59.2,2023-09-22,9,"1"
"81",728,2403,8,"ERFA",59.6,2023-09-22,9,"1"
"82",729,2403,9,"ENCA",68,2023-09-22,9,"1"
"83",730,2403,10,"ENCA",36.5,2023-09-22,9,"1"
"84",731,2403,11,"ERFA",62.5,2023-09-22,9,"1"
"85",732,2403,12,"SAME",74.6,2023-09-22,9,"1"
"86",733,2403,13,"ARCA",68.6,2023-09-22,9,"1"
"87",734,2403,14,"ENCA",85.6,2023-09-22,9,"1"
"88",735,2403,15,"ERFA",75.5,2023-09-22,9,"1"
"89",736,2403,16,"ARCA",63.7,2023-09-22,9,"1"
"90",737,2403,17,"SALE",104.8,2023-09-22,9,"1"
"91",738,2403,19,"ARCA",92.1,2023-09-22,9,"1"
"92",739,2403,20,"ENCA",107,2023-09-22,9,"1"
"93",740,2403,21,"ERFA",63.6,2023-09-22,9,"1"
"94",741,2403,22,"SALE",115.1,2023-09-22,9,"1"
"95",742,2403,23,"SAAP",21.8,2023-09-22,9,"1"
"96",743,2403,24,"ENCA",79.1,2023-09-22,9,"1"
"97",744,2403,25,"SAAP",48.7,2023-09-22,9,"1"
"98",745,2403,26,"SAME",69.8,2023-09-22,9,"1"
"99",746,2403,27,"SAAP",16.8,2023-09-22,9,"1"
"100",747,2403,28,"ARCA",63.6,2023-09-22,9,"1"
"101",748,2403,29,"ENCA",94.4,2023-09-22,9,"1"
"102",749,2403,30,"SALE",80.8,2023-09-22,9,"1"
"103",750,2403,31,"SAME",29.1,2023-09-22,9,"1"
"104",751,2403,32,"ARCA",49.5,2023-09-22,9,"1"
"105",752,2403,33,"ARCA",93.9,2023-09-22,9,"1"
"106",753,2403,35,"SALE",64.6,2023-09-22,9,"1"
"107",754,2403,36,"ERFA",52.3,2023-09-22,9,"1"
"108",755,2403,37,"SAAP",16.6,2023-09-22,9,"1"
"109",756,2403,38,"HEAR",22.8,2023-09-22,9,"1"
"110",757,2403,NA,"HEAR",13,2023-09-22,9,"1"
"111",758,2401,1,"ARCA",97.2,2023-09-22,9,"1"
"112",759,2401,3,"SAAP",63.3,2023-09-22,9,"1"
"113",760,2401,4,"ARCA",104.5,2023-09-22,9,"1"
"114",761,2401,5,"ERFA",36.3,2023-09-22,9,"1"
"115",762,2401,6,"ENCA",76.5,2023-09-22,9,"1"
"116",763,2401,8,"ARCA",82.6,2023-09-22,9,"1"
"117",764,2401,9,"SAME",126.9,2023-09-22,9,"1"
"118",765,2401,10,"SAAP",51.2,2023-09-22,9,"1"
"119",766,2401,11,"SAAP",41.5,2023-09-22,9,"1"
"120",767,2401,12,"SALE",83.4,2023-09-22,9,"1"
"121",768,2401,13,"ERFA",40.6,2023-09-22,9,"1"
"122",769,2401,14,"SALE",70.1,2023-09-22,9,"1"
"123",797,2462,1,"SALE",39.3,2023-09-22,9,"2"
"124",798,2462,2,"ARCA",65.2,2023-09-22,9,"2"
"125",799,2462,3,"SAAP",28.2,2023-09-22,9,"2"
"126",800,2462,4,"ARCA",87,2023-09-22,9,"2"
"127",801,2462,5,"SAAP",68.2,2023-09-22,9,"2"
"128",813,2458,2,"CEOL",31.4,2023-09-22,9,"3"
"129",814,2458,3,"RHOV",46.5,2023-09-22,9,"3"
"130",815,2458,4,"ADFA",29.3,2023-09-22,9,"3"
"131",816,2458,5,"MALA",48.8,2023-09-22,9,"3"
"132",817,2458,7,"RHOV",34.5,2023-09-22,9,"3"
"133",876,2405,1,"ENCA",58.2,2023-09-22,9,"1"
"134",877,2405,2,"SAME",47.8,2023-09-22,9,"1"
"135",878,2405,3,"ENCA",28.1,2023-09-22,9,"1"
"136",879,2405,4,"SALE",40,2023-09-22,9,"1"
"137",880,2405,5,"SALE",73.5,2023-09-22,9,"1"
"138",881,2405,7,"SAAP",32.5,2023-09-22,9,"1"
"139",882,2405,8,"ENCA",39.2,2023-09-22,9,"1"
"140",883,2405,9,"SAME",40.4,2023-09-22,9,"1"
"141",884,2405,10,"ENCA",43.8,2023-09-22,9,"1"
"142",885,2405,11,"ERFA",52.5,2023-09-22,9,"1"
"143",886,2405,12,"ENCA",56,2023-09-22,9,"1"
"144",887,2405,13,"ERFA",57.5,2023-09-22,9,"1"
"145",888,2405,14,"SALE",61,2023-09-22,9,"1"
"146",889,2405,15,"ERFA",70,2023-09-22,9,"1"
"147",890,2405,NA,"SAAP",28.2,2023-09-22,9,"1"
"148",891,2405,NA,"SAAP",18,2023-09-22,9,"1"
"149",892,2405,NA,"SAAP",10.5,2023-09-22,9,"1"
"150",893,2459,2,"RHIL",3.5,2023-09-22,9,"3"
"151",894,2459,3,"RHOV",44.8,2023-09-22,9,"3"
"152",895,2459,5,"MALA",77.8,2023-09-22,9,"3"
"153",896,2459,6,"MALA",98.4,2023-09-22,9,"3"
"154",897,2459,7,"MALA",74.3,2023-09-22,9,"3"
"155",898,2459,8,"ADFA",29.7,2023-09-22,9,"3"
"156",899,2459,9,"RHOV",73.8,2023-09-22,9,"3"
"157",900,2459,10,"ADFA",21.9,2023-09-22,9,"3"
"158",901,2459,12,"RHOV",40.5,2023-09-22,9,"3"
"159",902,2459,13,"MALA",148.8,2023-09-22,9,"3"
"160",903,2459,14,"RHOV",89.4,2023-09-22,9,"3"
