Plot,Cover type,Percent Cover,Date,Notes
2458,RHOV,3,03/09/23,
2458,HEAR,0.5,03/09/23,
2458,CEOL,0.5,03/09/23,
2458,MALA,1,03/09/23,
2458,ADFA,0.5,03/09/23,
2458,RHIL,0.5,03/09/23,
2458,Lupine,20,03/09/23,
2458,Chaparral,6,03/09/23,
2458,Native Herb,20,03/09/23,
2458,Non-native,0.5,03/09/23,
2458,Bare ground,75,03/09/23,
2459,MALA,6,03/09/23,
2459,ADFA,2,03/09/23,
2459,RHOV,4,03/09/23,
2459,HEAR,1,03/09/23,
2459,RHIL,0.5,03/09/23,
2459,Lupine,15,03/09/23,
2459,Blue Dicks,0.5,03/09/23,
2459,Morning Glory,1,03/09/23,
2459,Chaparral,13.5,03/09/23,
2459,Native Herb,16.5,03/09/23,
2459,Non-native,0.5,03/09/23,
2459,Bare ground,70,03/09/23,
2460,ARCA,5,03/09/23,
2460,SAAP,6,03/09/23,
2460,SALE,8,03/09/23,
2460,SAME,19,03/09/23,
2460,ENCA,32,03/09/23,
2460,ERFA,2,03/09/23,
2460,RHOV,1,03/09/23,
2460,MALA,2,03/09/23,
2460,CA Poppy,0.5,03/09/23,
2460,Lupine,4,03/09/23,
2460,Sage,72,03/09/23,
2460,Chaparral,3,03/09/23,
2460,Native Herb,4.5,03/09/23,
2460,Non-native,6,03/09/23,
2460,Bare ground,24,03/09/23,
2461,ARCA,8.5,03/09/23,
2461,ENCA,9,03/09/23,
2461,SAAP,3.5,03/09/23,
2461,SALE,4.5,03/09/23,
2461,SAME,1.5,03/09/23,
2461,CA Poppy,1,03/09/23,
2461,Lupine,40,03/09/23,
2461,Eucrypta,1,03/09/23,
2461,Sage,27,03/09/23,
2461,Native Herb,42,03/09/23,
2461,Non-native,4,03/09/23,
2461,Bare Ground,35,03/09/23,
2462,ARCA,1.5,03/09/23,
2462,SAAP,2,03/09/23,
2462,SALE,1,03/09/23,
2462,Lupine,7,03/09/23,
2462,CA Poppy,0.5,,
2462,Eucrypta,18,03/09/23,
2462,Sage,4.5,03/09/23,
2462,Native Herb,25.5,03/09/23,
2462,Non-native,2,03/09/23,
2462,Bare Ground,72,03/09/23,
2401,ENCA,1,03/09/23,
2401,SAAP,3,03/09/23,
2401,SALE,1.5,03/09/23,
2401,SAME,1,03/09/23,
2401,ARCA,3.5,03/09/23,
2401,ERFA,1,03/09/23,
2401,Lupine,42,03/09/23,
2401,Blue Dicks,0.5,03/09/23,
2401,Sage,11,03/09/23,
2401,Native Herb,42.5,03/09/23,
2401,Non-native,1,03/09/23,
2401,Bare Ground,50,03/09/23,
2402,Lupine,44,03/09/23,
2402,CA Poppy,0.5,03/09/23,
2402,Eucrypta,8,03/09/23,
2402,Native Herb,52.5,03/09/23,
2402,Non-native,9,03/09/23,
2402,Bare Ground,48,03/09/23,
2403,ARCA,8,03/09/23,
2403,SAAP,5,03/09/23,
2403,SALE,3,03/09/23,
2403,SAME,3,03/09/23,
2403,ENCA,12,03/09/23,
2403,CECU,1,03/09/23,
2403,ERFA,2,03/09/23,
2403,CA Poppy,1,03/09/23,
2403,Lupine,4,03/09/23,
2403,Eucrypta,2,03/09/23,
2403,Sage,33,03/09/23,
2403,Chaparral,1,03/09/23,
2403,Native Herb,7,03/09/23,
2403,Non-native,4,03/09/23,
2403,Bare Ground,55,03/09/23,
2404,ARCA,6.5,03/09/23,
2404,ERFA,4,03/09/23,
2404,SAAP,6,03/09/23,
2404,SALE,5.5,03/09/23,
2404,SAME,7,03/09/23,
2404,ENCA,13,03/09/23,
2404,MALA,5.5,03/09/23,
2404,RHOV,0.5,03/09/23,
2404,Lupine,23,03/09/23,
2404,Eucrypta,8,03/09/23,
2404,Sage,42,03/09/23,
2404,Chaparral,6,03/09/23,
2404,Native Herb,31,03/09/23,
2404,Non-native,12,03/09/23,
2404,Bare Ground,52,03/09/23,
2405,ENCA,6,03/09/23,
2405,ERFA,2.5,03/09/23,
2405,SALE,1.5,03/09/23,
2405,SAME,2.5,03/09/23,
2405,SAAP,1,03/09/23,
2405,Lupine,19,03/09/23,
2405,Blue Dicks,0.5,03/09/23,
2405,Sage,13.5,03/09/23,
2405,Native Herb,19.5,03/09/23,
2405,Non-native,6,03/09/23,
2405,Bare Ground,66,03/09/23,
11,ENCA,8,03/09/23,
11,SAAP,3.5,03/09/23,
11,SAME,2.5,03/09/23,
11,SALE,2,03/09/23,
11,ARCA,1,03/09/23,
11,ERFA,1,03/09/23,
11,Lupine,12,03/09/23,
11,Blue Dicks,0.5,03/09/23,
11,Eucrypta,6.5,03/09/23,
11,Sage,18,03/09/23,
11,Native Herb,19,03/09/23,
11,Non-native,1,03/09/23,
11,Bare Ground,73,03/09/23,
12,CEOL,1,03/09/23,
12,RHOV,1.5,03/09/23,
12,HEAR,0.5,03/09/23,
12,CECU,1,03/09/23,
12,RHIL,1,03/09/23,
12,ADFA,1.5,03/09/23,
12,Lupine,8.5,03/09/23,
12,Eucrypta,4.5,03/09/23,
12,Chaparral,6.5,03/09/23,
12,Native Herb,13,03/09/23,
12,Non-native,3,03/09/23,
12,Bare Ground,86,03/09/23,
13,ARCA,6,03/09/23,
13,ENCA,3.5,03/09/23,
13,SAAP,2.5,03/09/23,
13,SALE,5,03/09/23,
13,SAME,2.5,03/09/23,
13,CECU,1.5,03/09/23,
13,Lupine,4,03/09/23,
13,Eucrypta,2,03/09/23,
13,Sage,19.5,03/09/23,
13,Chaparral,1.5,03/09/23,
13,Native Herb,6,03/09/23,
13,Non-native,4,03/09/23,
13,Bare Ground,75,03/09/23,
14,ARCA,15,03/09/23,
14,ENCA,35,03/09/23,
14,SAAP,8,03/09/23,
14,SALE,7,03/09/23,
14,SAME,6.5,03/09/23,
14,ERFA,3,03/09/23,
14,ADFA,1,03/09/23,
14,MALA,1,03/09/23,
14,Lupine,7.5,03/09/23,
14,Sage,74.5,03/09/23,
14,Chaparral,2,03/09/23,
14,Native Herb,7.5,03/09/23,
14,Non-native,0.5,03/09/23,
14,Bare Ground,23,03/09/23,
15,Lupine,3,03/09/23,
15,Eucrypta,26,03/09/23,
15,Native Herb,29,03/09/23,
15,Non-native,3,03/09/23,
15,Bare Ground,70,03/09/23,